name,type,thumbs_up,thumbs_down,score,ac_percent,imple_diff,concept_diff,author,cluster,year,time_limit,source_limit,mem_limit,user_ac,total_sub,total_ac,total_wa,ct_error,rt_error,total_tle
A Famous Airport Manager,1,0,0,1.27,19.94,0,0,Fudan University Problem Setters,Cube (Intel G860),2009,1,50000,1536,22,339,66,161,12,15,84
A Famous City,1,2,0,0.17,32.9,34,34,Fudan University Problem Setters,Cube (Intel G860),2012,1,50000,1536,443,2587,851,1006,127,208,389
A Famous Equation,1,0,0,0.85,30.38,0,0,Fudan University Problem Setters,Cube (Intel G860),2012,1,50000,1536,53,371,112,213,12,10,24
A Famous Game,1,0,0,0.41,26.5,26,34,Fudan University Problem Setters,Cube (Intel G860),2012,1,50000,1536,156,935,247,547,38,19,83
A Famous Grid,1,0,0,0.42,18.26,0,0,Fudan University Problem Setters,Cube (Intel G860),2012,1,50000,1536,148,1932,352,736,86,158,600
A Famous ICPC Team,1,5,0,0.04,37.78,1,9,Fudan University Problem Setters,Cube (Intel G860),2012,1,50000,1536,1838,6418,2425,2640,460,130,759
A Famous King’s Trip,1,0,0,1.38,9.18,0,0,Fudan University Problem Setters,Cube (Intel G860),2012,10,50000,1536,17,294,27,144,11,75,37
A Famous Music Composer,2,0,0,0,40.86,0,0,Fudan University Problem Setters,Cube (Intel G860),2012,0.5,50000,1536,343,1373,561,612,56,35,107
A Famous Stone Collector,1,1,0,0.66,39.32,0,0,Fudan University Problem Setters,Cube (Intel G860),2012,10,50000,1536,80,590,232,153,41,71,92
A Frightening Evening,1,0,0,0.93,27.36,0,0,SourSpinach,Cube (Intel G860),2014,1,50000,1536,45,212,58,135,10,3,4
A function over factors,1,1,0,0.66,35.8,1,17,Raziman T V,Cube (Intel G860),2012,0.335,50000,1536,81,553,198,111,20,7,215
A Game of Pearls,1,0,0,1.01,28.77,0,0,Fudan University Problem Setters,Cube (Intel G860),2007,5,50000,1536,38,219,63,64,33,10,49
A Game of Toy Bricks,1,0,0,1.04,35.09,0,0,Fudan University Problem Setters,Cube (Intel G860),2007,1,50000,1536,36,114,40,48,20,0,6
A Game with Numbers,1,55,8,0.01,61.76,2,10,Roman Sol,Cube (Intel G860),2006,0.62,50000,1536,7504,13801,8524,3634,764,408,454
A game with probability,1,0,0,0.56,18.63,0,0,Pavel Kuznetsov,Cube (Intel G860),2009,0.1,50000,1536,103,655,122,382,22,38,91
A Gift for You 2,2,0,0,0,26.29,0,0,Md Abdul Alim,Cube (Intel G860),2014,2,50000,1536,35,175,46,79,15,2,33
A HUGE TOWER,1,0,0,0.6,46.2,0,0,Phan Công Minh,Cube (Intel G860),2010,0.196,50000,1536,93,303,140,57,17,30,59
A jumpy cycle,1,0,0,0.89,65.48,0,0,Xellos,Cube (Intel G860),2011,0.1,50000,1536,49,84,55,14,10,1,4
A Kleene Implementation,1,0,0,1.82,30.43,0,0,Mitch Schwartz,Cube (Intel G860),2013,5,50000,1536,3,23,7,2,0,4,10
A Knightly Pursuit,1,0,0,0.77,28.52,0,0,JaceTheMindSculptor,Cube (Intel G860),2009,0.119,50000,1536,63,284,81,177,8,5,11
A Knights’ Tale,1,2,0,0.75,23.45,0,0,Omar ElAzazy,Cube (Intel G860),2010,0.14,50000,1536,66,435,102,113,28,64,128
A los saltos,1,0,0,1.16,28.07,0,0,Coach UTN FRSF,Cube (Intel G860),2011,0.414,50000,1536,28,114,32,49,6,7,20
A multiplied B equal to N,2,0,0,0,14.29,0,0,Najmuzzaman,Cube (Intel G860),2014,0.1,50000,1536,1,21,3,14,0,4,0
A Mushroom Adventure,2,0,0,0,45.98,0,0,dce coders,Cube (Intel G860),2013,1,50000,1536,37,87,40,22,7,14,2
A Needle in the Haystack,1,91,7,0.02,36.42,15,14,mima,Cube (Intel G860),2004,5,50000,1536,5195,25972,9460,5605,2715,4481,3697
A Pair of Graphs,1,0,0,0.79,57.39,0,0,Fudan University Problem Setters,Cube (Intel G860),2009,1,50000,1536,60,115,66,30,3,11,5
A place for the brewery,1,0,0,0.33,26.91,0,0,Paweł Dobrzycki,Cube (Intel G860),2005,0.219,50000,1536,198,888,239,461,55,48,85
A Pleasant Stroll,1,3,0,0.54,33.12,12,12,SourSpinach,Cube (Intel G860),2014,3,50000,1536,108,474,157,218,22,8,68
A plus B,1,1,0,1.82,3.16,34,34,Mostafa 36a2,Cube (Intel G860),2013,1,50000,1536,3,95,3,2,14,76,0
A plus B,2,1,0,0,8.42,1,1,Saravannan Shaan,Cube (Intel G860),2009,0.163,50000,1536,68,1176,99,621,233,183,40
A Research Project,2,0,0,0,61.54,0,0,SourSpinach,Cube (Intel G860),2014,1,50000,1536,8,13,8,5,0,0,0
A Romantic Dinner Outing,1,0,0,1.51,29.31,0,0,SourSpinach,Cube (Intel G860),2013,2,50000,1536,12,58,17,31,8,2,0
A Romantic Movie Outing,1,0,0,1.27,22.96,0,0,SourSpinach,Cube (Intel G860),2013,2,50000,1536,22,135,31,69,3,16,16
A short vacation in Disneyland,1,4,0,0.32,15.42,30,26,Thanh-Vy Hua,Cube (Intel G860),2007,0.1,50000,1536,206,1829,282,1176,68,157,142
A Simple Calculator in the Galaxy,1,0,0,1.19,40.19,0,0,Fudan University Problem Setters,Cube (Intel G860),2007,5,17000,1536,26,107,43,28,0,14,22
A simple equation,2,1,0,0,32.02,1,17,Varun Jalan,Cube (Intel G860),2010,0.143,50000,1536,132,531,170,164,17,8,172
A Simple Game ,2,1,0,0,24.44,17,17,Mahesh Chandra Sharma,Cube (Intel G860),2011,0.615,50000,1536,1294,7021,1716,3143,1023,350,784
A Subtle Surf,1,2,0,0.53,44.24,9,9,SourSpinach,Cube (Intel G860),2014,2,50000,1536,111,330,146,132,17,18,16
A Summatory,1,9,0,0.06,25.65,6,5,Olson Ortiz,Cube (Intel G860),2012,0.113,50000,1536,1385,8226,2110,3485,435,369,1815
A Summatory (HARD),1,1,0,0.96,32.82,26,26,Tjandra Satria Gunawan,Cube (Intel G860),2012,2.107,12345,1536,42,451,148,77,26,28,172
A Terribly Grimm Problem,1,0,0,1.51,29.23,34,34,Joshua Kirstein,Cube (Intel G860),2015,1,50000,1536,12,65,19,12,1,18,15
A True Patriot,2,0,0,0,12.5,17,1,dce coders,Cube (Intel G860),2013,1,50000,1536,9,80,10,44,11,4,11
A Very Easy Problem!,1,36,11,0.01,49.01,11,11,Fudan University Problem Setters,Cube (Intel G860),2007,0.1,500,1536,5344,11304,5540,5758,0,0,3
A XOR Problem,2,0,0,0,88.89,0,0,Ankit Kumar Vats ,Cube (Intel G860),2013,1,50000,1536,8,9,8,1,0,0,0
A1 Road,1,0,0,0.67,49.26,0,0,~!(*(@*!@^&,Cube (Intel G860),2009,0.168,50000,1536,79,203,100,59,8,13,23
AAO KABHI HAWELI PE :P,1,1,0,0.98,42.86,1,17,junior_g,Cube (Intel G860),2017,0.141,50000,1536,41,126,54,0,17,0,55
AB-words,1,0,0,1.48,1.22,0,0,Michał Czuczman,Cube (Intel G860),2004,2.64,50000,1536,13,1470,18,597,114,315,424
ABC Blocks,2,0,0,0,53.69,0,0,balaji,Cube (Intel G860),2009,0.588,50000,1536,94,203,109,55,29,9,1
ABC Path,1,60,3,0.02,22.4,14,9,Ali Arous,Cube (Intel G860),2011,0.458,50000,1536,3360,19589,4388,8148,1163,1519,4352
ABC-s for Progya,2,0,0,0,31.4,0,0,imranziad,Cube (Intel G860),2015,1,50000,1536,22,77,24,38,12,3,0
ABCDEF,1,92,7,0.02,26.76,14,17,Luka Kalinovcic,Cube (Intel G860),2009,0.36,50000,1536,4351,25027,6696,5699,1942,2052,8572
